Sygnatura czasowa,author,Cyfrowy wsizerunek pracy (prosimy o podpisanie prac imieniem i nazwiskiem lub pseudonimem):,title,type,format,"Inne technikalia (wszystko, czym chciał*byś się z nami podzielić): ",Czy chcesz przesłać kolejną pracę?,Cyfrowy wizeqrunek pracy (prosimy o podpisanie prac imieniem i nazwasdiskiem lub pseudonimasdem):,title2,type2,format2,"Innae technikalia (wszystko, czym chciał*byś się z nami podzielić): ",Czy chcesz przesłać asdkolejną pracę?,Cyfrowy wizerasdunek pracy (prosimy o podpisanie prac imieniem i nazwiskiem lub pseuasddonimem):,title3,type3,format3,"Inne tecasdhnikalia (wszystko, czym chciał*byś się z nami podzielić): "
2022-10-06 17:52:26,Kamila Okrutny,https://drive.google.com/open?id=1za_jXQrOA9XsflE4U-cD97OGsBP3fOLn,-,Grafika,20x20,Jest to wydruk. ,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-06 17:56:26,Kasia Walentynowicz,"https://drive.google.com/open?id=12wgMAvdY3537NInQBusX2Z6s9nCHIcyx, https://drive.google.com/open?id=1ia7-LbKiBp8pCP8lsA2xGG4to2PcduBp, https://drive.google.com/open?id=1Xt3oMbPVvkka458NW1UGYPhcqf8LtO2p",Śpiący kot,Grafika,40×30,"Wydruk artystyczny ręcznie sygnowany przez autorkę.
Wysokiej jakości druk pigmentowy na papierze Tecco Professional Pastell Matt 225 g.
Rama poglądowo – nie jest elementem pracy.","Nie, wyślij formularz",,,,,,,,,,,
2022-10-06 18:12:10,koszmarne mazaje,"https://drive.google.com/open?id=1EI2pxFJVAjPTy_zOBcWQFfG8Q9tyvyPS, https://drive.google.com/open?id=1yhqoSCcGOfiy3QQaHhcQk48QAZe8oSym, https://drive.google.com/open?id=1Gz2DBNgOD18OFQVShODpNN1M1W3-NUk1, https://drive.google.com/open?id=1QRDtCNQ6BQf85HfRnSiMBrmXWI1-mlZt",Król Domu,Grafika,50x70,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-07 00:10:12,konrad roche,https://drive.google.com/open?id=1wP9TeHmKYS14nxA7zDUxBvj-F5GUXGW1,kosmiczny cerber,Grafika,50x70,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-16 14:19:53,Adrian Wilczyński,https://drive.google.com/open?id=16-KgMo2VMqf5T8dLXqsTqBlAKDHHo9qG,Alma&Balba,Grafika,A2,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-16 20:10:09,Adela Madej,https://drive.google.com/open?id=1kpUQFdMnWhLX9EPFbWQmRzfMe9C2e56m,The Happy Dog,Grafika,A2 ,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-19 12:11:25,Julia Hanke,"https://drive.google.com/open?id=13oXmSY_TvYNhkprxF5IonFNOVfWTdNX7, https://drive.google.com/open?id=1OxL9WVPGAyXZc86Mi7WZwqKu1ZcoRbZM",Not a couch dog,Inne,A2 - 420 x 594 mm,"ilustracja cyfrowa wydrukowana na grubym, matowym papierze fomei","Nie, wyślij formularz",,,,,,,,,,,
2022-10-19 14:57:31,Krzysztof Świerkosz,"https://drive.google.com/open?id=1J6xuKWb2jFhwqyAaM6u7KvmEZ2fOQrsy, https://drive.google.com/open?id=16IQFk3YDjmTAHZg0XCWtjgYC7AoyE6xE",Wszystko Wolno,Grafika,30x40cm,Druk pigmentowy na papierze CrushCorn 250g,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-19 19:42:47,KURZ ceramika,"https://drive.google.com/open?id=1dpL-_Sd6_mJSEkyvDoWsrZ7JYK2stZlh, https://drive.google.com/open?id=1-St56nVp1a7Boi-ye_Yb_PcvoFjPYsqb, https://drive.google.com/open?id=13-x-bh6czNhragb8fH3a_vfSd12JNhbP, https://drive.google.com/open?id=1MwnfW9H7DhKu1PPp-fSMEFgFa9ULPpax",Dzielna miska,Ceramika,"średnica 18 cm, wysokość 4 cm","bezpieczna do kontaktu z żywnością, można myć w zmywarce","Nie, wyślij formularz",,,,,,,,,,,
2022-10-19 20:08:48,Agnieszka Osiecka (RYSUJĘ BO SIĘ NUDZĘ),https://drive.google.com/open?id=1Bt7n-m7RvzOUex47nSoxlppwWGqeYMed,HISTERIE ZWIERZĘCE: GRAŻYNA! MAŁO...,Grafika,40x50,,Tak,https://drive.google.com/open?id=1bKSFovdAMKw6waLOeVDKO9JTlfTBFbKp,HR-owe HEHESZKI,Grafika,50x70,,"Nie, wyślij formularz",,,,,
